time,latitude,longitude,mag
2011-01-01T00:02:31.960Z,27.247,143.166,5.0
2011-01-05T00:57:32.220Z,31.545,142.177,5.6
2011-01-08T18:23:20.140Z,26.672,143.878,5.1
2011-01-09T12:42:31.080Z,42.399,144.382,5.1
2011-01-10T10:24:20.980Z,23.083,143.166,5.6
2011-01-11T23:47:49.640Z,26.63,143.665,5.2
2011-01-12T21:32:53.860Z,26.973,139.882,6.4
2011-01-13T09:36:19.440Z,27.258,143.315,5.0
2011-01-15T08:45:33.880Z,27.241,143.381,5.1
2011-01-16T11:14:12.340Z,34.451,141.643,5.0
2011-01-20T11:36:41.760Z,29.651,129.27,5.2
2011-01-21T06:32:22.760Z,27.164,143.483,5.1
2011-01-21T08:12:30.960Z,27.133,143.47,5.2
2011-01-22T05:49:02.450Z,42.36,142.895,5.1
2011-01-23T10:58:26.200Z,26.815,144.103,5.0
2011-01-23T12:46:37.890Z,26.805,144.143,5.0
2011-01-23T22:13:48.000Z,26.762,143.862,5.0
2011-01-23T22:51:23.140Z,26.662,143.725,5.1
2011-01-25T02:18:37.620Z,22.086,144.249,5.1
2011-01-25T05:24:40.110Z,35.127,141.117,5.1
2011-01-25T11:33:37.120Z,27.65,143.35,5.0
2011-01-27T15:54:41.010Z,27.105,143.364,5.0
2011-01-29T12:38:59.990Z,21.613,142.956,5.5
2011-01-31T14:46:34.280Z,22.136,145.464,5.2
2011-02-01T03:32:10.780Z,22.674,144.474,5.0
2011-02-04T04:16:37.090Z,22.577,143.595,5.3
2011-02-04T11:15:45.470Z,29.182,130.228,5.3
2011-02-05T01:56:13.890Z,34.77,140.352,5.1
2011-02-08T15:34:30.600Z,22.744,144.564,5.1
2011-02-08T15:50:13.020Z,27.353,143.191,5.0
2011-02-08T16:42:40.600Z,27.301,143.157,5.3
2011-02-09T09:51:28.150Z,24.807,141.096,5.2
2011-02-09T11:29:12.470Z,27.292,143.258,5.0
2011-02-10T03:04:49.170Z,27.134,143.377,5.0
2011-02-10T13:03:02.650Z,37.151,141.279,5.3
2011-02-11T23:59:17.550Z,27.302,143.064,5.1
2011-02-12T00:05:40.580Z,27.366,143.162,5.0
2011-02-15T14:12:50.370Z,25.908,128.294,5.1
2011-02-15T19:01:03.400Z,38.321,143.162,5.5
2011-02-15T19:06:51.390Z,38.387,142.796,5.1
2011-02-16T23:45:10.380Z,25.909,128.281,5.2
2011-02-18T20:20:30.650Z,44.817,150.086,5.1
2011-02-22T04:56:19.740Z,26.419,128.706,5.1
2011-02-22T09:53:39.320Z,38.229,143.166,5.1
2011-02-22T14:09:50.780Z,22.11,143.842,5.5
2011-02-23T22:14:05.710Z,31.455,140.147,5.4
2011-02-25T19:12:31.230Z,34.333,140.235,5.3
2011-02-26T14:40:57.020Z,38.194,143.158,5.0
2011-02-26T15:38:43.790Z,37.36,141.652,5.1
2011-02-26T20:38:02.390Z,36.121,137.353,5.1
2011-02-28T02:03:26.190Z,32.356,142.384,5.1
2011-02-28T13:05:28.690Z,46.216,152.142,5.1
2011-03-03T11:52:37.920Z,46.973,150.925,5.4
2011-03-07T10:13:07.520Z,29.092,129.416,5.2
2011-03-09T02:45:20.330Z,38.435,142.842,7.3
2011-03-09T02:55:12.640Z,38.465,143.235,5.1
2011-03-09T02:57:16.670Z,38.361,142.91,5.7
2011-03-09T02:58:14.080Z,38.246,143.102,5.7
2011-03-09T03:08:35.770Z,38.311,143.169,5.3
2011-03-09T03:18:59.710Z,38.713,143.065,5.0
2011-03-09T04:05:54.980Z,38.655,142.753,5.2
2011-03-09T04:32:09.690Z,38.672,143.031,5.1
2011-03-09T04:37:04.990Z,38.665,142.991,5.6
2011-03-09T04:45:55.170Z,38.466,142.702,5.3
2011-03-09T06:12:12.780Z,38.626,143.13,5.0
2011-03-09T06:13:46.470Z,38.23,143.132,5.1
2011-03-09T06:25:14.570Z,38.273,143.054,5.0
2011-03-09T07:13:50.090Z,38.212,143.162,5.0
2011-03-09T07:56:32.220Z,38.803,142.879,5.1
2011-03-09T08:02:38.390Z,38.613,143.08,5.2
2011-03-09T11:27:52.300Z,38.537,143.036,5.2
2011-03-09T18:16:16.440Z,38.315,142.434,6.0
2011-03-09T18:44:38.500Z,38.503,143.166,5.9
2011-03-09T21:22:17.580Z,38.345,142.648,6.0
2011-03-09T21:24:01.680Z,38.296,142.808,6.5
2011-03-09T23:36:58.680Z,38.398,143.167,5.4
2011-03-10T08:08:20.560Z,38.603,143.27,5.6
2011-03-10T09:02:23.960Z,38.616,143.122,5.3
2011-03-10T11:21:09.150Z,38.586,143.038,5.1
2011-03-10T16:54:45.020Z,38.046,143.296,5.0
2011-03-11T05:46:24.120Z,38.297,142.373,9.0
2011-03-11T05:54:31.940Z,37.712,141.184,6.3
2011-03-11T05:55:45.480Z,37.359,143.351,6.4
2011-03-11T05:58:07.490Z,37.623,142.155,6.3
2011-03-11T05:59:31.580Z,37.054,141.763,5.9
2011-03-11T06:00:39.300Z,38.095,142.492,6.2
2011-03-11T06:03:55.260Z,36.469,141.84,5.9
2011-03-11T06:05:02.230Z,36.375,141.777,5.8
2011-03-11T06:06:13.170Z,39.003,142.29,6.3
2011-03-11T06:07:20.880Z,36.419,141.876,6.4
2011-03-11T06:08:29.660Z,38.969,143.37,6.7
2011-03-11T06:11:15.610Z,36.109,141.696,5.9
2011-03-11T06:12:36.360Z,37.788,144.233,6.2
2011-03-11T06:13:01.040Z,37.211,141.601,6.2
2011-03-11T06:15:23.120Z,37.93,143.802,6.3
2011-03-11T06:15:40.280Z,36.281,141.111,7.9
2011-03-11T06:18:49.510Z,36.023,142.269,6.6
2011-03-11T06:20:04.110Z,36.004,142.067,6.5
2011-03-11T06:21:32.700Z,38.29,142.813,6.2
2011-03-11T06:23:09.480Z,39.03,142.284,6.2
2011-03-11T06:25:50.300Z,38.058,144.59,7.7
2011-03-11T06:29:15.990Z,37.812,144.233,6.1
2011-03-11T06:33:06.070Z,36.625,141.867,5.9
2011-03-11T06:35:20.900Z,35.806,141.1,5.8
2011-03-11T06:37:05.580Z,37.465,142.404,5.6
2011-03-11T06:38:11.330Z,36.094,141.665,5.8
2011-03-11T06:39:39.320Z,37.04,142.463,5.5
2011-03-11T06:41:01.450Z,39.599,141.576,5.8
2011-03-11T06:42:10.530Z,34.88,141.916,5.2
2011-03-11T06:43:10.570Z,38.066,144.627,5.4
2011-03-11T06:44:54.990Z,36.588,141.1,5.3
2011-03-11T06:46:31.190Z,37.956,143.248,5.9
2011-03-11T06:48:18.800Z,38.807,141.946,5.3
2011-03-11T06:48:45.590Z,37.961,142.724,6.2
2011-03-11T06:49:16.610Z,37.337,144.237,6.1
2011-03-11T06:49:57.540Z,40.668,141.605,5.8
2011-03-11T06:52:28.510Z,38.061,143.016,5.5
2011-03-11T06:54:08.490Z,36.974,141.493,5.4
2011-03-11T06:55:33.600Z,37.562,142.855,5.9
2011-03-11T06:57:16.510Z,35.712,140.875,6.0
2011-03-11T06:59:00.270Z,37.357,144.725,6.3
2011-03-11T07:01:11.640Z,36.628,143.755,5.7
2011-03-11T07:02:57.260Z,39.693,142.529,5.8
2011-03-11T07:03:00.000Z,37.924,142.802,5.6
2011-03-11T07:04:16.170Z,38.964,142.398,5.8
2011-03-11T07:05:21.100Z,38.442,143.6,5.7
2011-03-11T07:06:45.820Z,37.778,142.98,5.6
2011-03-11T07:09:12.050Z,36.714,141.874,5.7
2011-03-11T07:09:58.330Z,36.718,141.856,5.6
2011-03-11T07:10:59.890Z,37.879,142.681,5.8
2011-03-11T07:13:47.620Z,36.103,142.358,5.9
2011-03-11T07:14:58.820Z,36.586,141.823,6.3
2011-03-11T07:17:42.760Z,37.006,142.406,5.8
2011-03-11T07:23:16.910Z,37.454,142.097,5.9
2011-03-11T07:25:36.460Z,37.934,144.529,6.1
2011-03-11T07:28:12.360Z,36.823,141.824,6.1
2011-03-11T07:29:01.830Z,39.031,142.349,6.3
2011-03-11T07:30:18.450Z,37.442,141.195,6.0
2011-03-11T07:33:33.660Z,36.323,142.71,5.7
2011-03-11T07:35:52.220Z,36.943,142.309,5.7
2011-03-11T07:38:27.600Z,39.204,142.793,5.8
2011-03-11T07:40:53.350Z,38.345,142.191,5.3
2011-03-11T07:42:55.650Z,36.403,141.892,5.7
2011-03-11T07:44:27.990Z,36.195,141.813,5.8
2011-03-11T07:47:49.420Z,38.726,143.837,5.2
2011-03-11T07:48:09.770Z,36.951,142.162,5.1
2011-03-11T07:49:48.530Z,36.525,141.756,5.4
2011-03-11T07:51:53.410Z,36.554,141.675,5.0
2011-03-11T07:53:29.180Z,36.734,141.959,5.0
2011-03-11T07:54:45.420Z,37.743,141.573,5.7
2011-03-11T07:56:15.410Z,37.106,142.226,5.6
2011-03-11T07:59:48.970Z,37.012,142.78,5.7
2011-03-11T08:01:24.150Z,36.983,142.815,5.1
2011-03-11T08:01:57.000Z,36.936,142.7,5.9
2011-03-11T08:04:58.780Z,37.593,142.208,5.7
2011-03-11T08:06:20.680Z,37.569,142.823,5.4
2011-03-11T08:10:29.340Z,36.287,140.852,5.6
2011-03-11T08:12:07.260Z,36.569,141.486,6.2
2011-03-11T08:15:41.850Z,37.047,144.541,6.1
2011-03-11T08:19:14.520Z,36.117,141.698,5.4
2011-03-11T08:19:24.380Z,36.166,141.562,6.5
2011-03-11T08:26:36.930Z,37.367,143.017,6.1
2011-03-11T08:27:51.600Z,38.017,142.657,6.0
2011-03-11T08:31:09.260Z,37.469,141.176,6.0
2011-03-11T08:33:00.780Z,39.14,142.967,6.0
2011-03-11T08:35:22.110Z,36.033,140.984,5.6
2011-03-11T08:38:01.510Z,37.704,143.833,5.4
2011-03-11T08:39:12.960Z,37.64,142.771,5.5
2011-03-11T08:40:56.140Z,37.447,140.984,5.9
2011-03-11T08:44:00.140Z,36.122,140.966,5.6
2011-03-11T08:46:45.850Z,37.416,142.451,5.6
2011-03-11T08:48:26.650Z,36.505,141.909,5.2
2011-03-11T08:51:05.360Z,37.556,143.642,5.3
2011-03-11T08:52:04.660Z,36.326,141.098,5.3
2011-03-11T08:52:23.420Z,36.77,141.924,5.5
2011-03-11T08:55:07.520Z,36.607,141.597,5.0
2011-03-11T09:00:14.520Z,37.281,142.497,5.1
2011-03-11T09:04:06.900Z,37.376,142.718,5.4
2011-03-11T09:05:34.020Z,37.301,142.674,5.3
